Review Title,Rating,Review Body,Review Date
super speed enpogh for heavyy editing,5.0 out of 5 stars,super speed enough for heavy editing.  value for money. i will reccomend this. i bought for 23000 rupees before six months.,12 June 2024
No title,No rating,"Tant de cœurs dans un si petit processeur ! 6 P-Core avec Hyperthread ce qui fait 12 coeurs virtuels puissants, et 8 coeurs économiques. Par contre avec le ventirad d'origine on arrive très vite aux 100°C et donc à la limitation du CPU, c'est pourquoi je vous conseille un bon gros ventirad performant si vous voulez tirer pleinement partie des capacités de ce processeur.",22 May 2024
No title,No rating,Velocissima CPU ottima x il gaming  e scada pochissimo . Consigliato chi vuole un CPU che non costi tanto !,15 May 2024
No title,No rating,"Ottimo processore, non sono certo io a scoprirlo. MA per quasi 300 euro il cooler fornito è inadeguato. A pieno carico si passano i 90 gradi con relativo throttling e quindi si perde in performance.Consiglio di abbinare il processore a un dissipatore serio (io ho preso un Thermalright 120 SE ad aria). Che significa mettere in conto 30-40 euro in più per una cosa che doveva essere decentemente fornita insieme alla CPU.",5 April 2024
No title,No rating,"Intel una garanza, consigliato.",3 April 2024
No title,No rating,"Très bon produit de milieu de gamme, parfait pour stream et jouer en même temps.",4 March 2024
No title,No rating,"La cpu è ottima e viaggia molto bene anche in gaming, attenzione se avete intenzioni di overcloccare alle temperature perchè se stressato i gradi salgono, consgiliato!",3 March 2024
No title,No rating,"Alles bestens, gerne wieder!",2 March 2024
No title,No rating,Sehr sparsam und schnell,2 March 2024
No title,No rating,ottimo compromesso pagato poco più del 13400 arrivato con dissipatore che non uso avendo quello a liquido,27 February 2024
No title,No rating,"A mio parere prodotto, moto buononessun problemavelocesoddisfatto dell'articolo",14 February 2024
No title,No rating,"Colis et emballage en parfait état MAISune pale du ventilateur fourni est cassée. La seule solution est de renvoyer le tout, attendre le remboursement et commander à nouveau.Soit un délai supplémentaire d'au moins une semaine.Un geste commercial serait préférable, après le renvoi du ventilateur uniquement",14 February 2024
No title,No rating,Il processore è ottimo ma è arrivato con la ventola rotta perché consegnato dentro sacchetto di carta.,10 February 2024
No title,No rating,It is fast enough for a good gaming experience. I use 1440p with no problems,9 February 2024
No title,No rating,Trovato con un offerta ad un prezzo perfetto per quello che offre.,5 February 2024
No title,No rating,Pour mon premier pc j'ai choisi ce processeur réputé pour offrir un confort de travail et c'est le cas ! Il consomme rien et chauffe très peu. Il a écrasé mon Mac Mini M1 tellement facilement!,2 February 2024
No title,No rating,"The media could not be loaded.
                



CPU ist top, ich kann mit diesem CPU mit mein RTX 4070 in alle Spiele Ultra Setting spielen.",2 February 2024
No title,No rating,I5 di 13 generazione LGA 1700 ottimo qualità prezzo eccellente,25 January 2024
No title,No rating,"Allora dovevo fare un upgrade al mio PC  vecchio di 8 anni anche se top di gamma visto che montava un i7 6850k e una scheda madre MSI GAMING PRO CARBON ARGB, così non avendo un budget elevato ho prima optato per un ryzen 5800x ma ho fatto ben 2 resi sia di cpu sia di scheda madre in quanto AMD NON GARANTISCE la stabilità delle sue CPU e BIOS in generale ( confermato anche da tante persone che le cpu amd o si fondono o non partono dopo aver aggiornato il bios) così ho optato per questo i5 13500 e devo dire che è fantastico per il prezzo che ha!!!! A differenza del 5800x è partito al primo avvio con scheda madre MSI pro Z790-P WIFI. BIOS aggiornato e via con il gaming in 2k o QWHD!!!! AMAZON SEMPRE PRECISA E SERIA SIA NELLE CONSEGNE SIA NEI RESI!!!!!",18 January 2024
No title,No rating,"Ho scelto questo precessore per le prestazioni offerte e per il rapporto qualità-prezzo che penso sia uno dei migliori, non ho trovato problematiche di spessore e sono soddisfatto dell'acquisto.",16 January 2024
No title,No rating,Cpu cooler is too small and doesn't cover the whole CPU. Not worth buying with cooler.,15 January 2024
No title,No rating,"Una bomba, tranne il dissipatore stock.",13 January 2024
No title,No rating,Anche con giochi o programmi pesanti va come un treno. mai un tentennamento. Scalda poco. Ottimo,11 January 2024
No title,No rating,"Processore di 13a generazione,scalda poco e nonostante le altre frequenze consuma poca energia.Non ha il moltiplicatore sbloccato,ma a me non interessa, è molto efficiente per i due tipi di processori all' interno chiamati,Economy e Power. Compatibile con PCi Express 5Non delude le aspettative !!!!",7 January 2024
No title,No rating,"Pour du gaming 4k, de l'applicatif léger et du multimédia, il est limite un peu too much lol. Donc pour mon utilisation j'en suis très satisfait. Pour de l'applicatif plus lourd je ne saurai dire. Petit bémol peut être pour le prix qui selon moi devrait plus être autour des 230€.",6 January 2024
No title,No rating,"The media could not be loaded.
                



You can save on cpu cooler but later you will have to get new cooler anyway because it hits 99°C on heavy loads. Good for HTPC and SFF builds.",6 January 2024
No title,No rating,"Super ce i5 13500, pris pour remplacer un i5 9400f. C'est impressionnant. Je recommande ce processeur pour une utilisation bureautique, montage vidéo. Pour le jeu, je ne peux donner mon avis, je ne suis pas un Gamer.La carte vidéo intégrée est largement suffisante pour mon utilisation. Petit conseil, utilisé un bon ventirad.C'est mieux de le prévoir au montage. Votre processeur vous le rendra bien.",3 January 2024
No title,No rating,"Ottimo davvero se acquistato a 250 euro e non a 280 come l ho preso io. Nella mia configurazione è abbinato ad una 7800 xt e asus h770 tuf gaming pro wi-fi con ram 32 GB ddr5 6000mhz (che però questo processore non riesce a gestire oltre 4800MT e quindi non andranno oltre 4800mhz). In giochi come cyberpunk in 4k arriva ad essere utilizzato al 70/80 % quindi direi che fa il suo lavoro alla grande! Come temp arriva sui 60gradi accoppiato ad un aio con tdw da 500w.Edit e aggiungo:In altri giochi cpu consuming come battlefield 2042 e star citizen e sopratutto in questo inizia a faticare, facendo un leggero collo di bottiglia soprattuto sul 4k dove inizia a lavorare al 100%…Sto iniziando a pensare se passare ad un modello più performante…",25 December 2023
No title,No rating,"No es un i5 cualquiera, cuenta con 14 núcleos y 20 hilos, además consume 65w, que más se puede pedir",24 December 2023
No title,No rating,"Allora l' Intel i5 13500 di per sè 5 stelle. Sono costretto a mettere 3 stelle per il dissipatore stock che ne vale 1. Una cosa abbastanza vergognosa. Non tanto per il rumore che sotto carico è comunque fastidioso.Ma ho fatto uno stress test. Ho provato applicazioni pesanti per la cpu. Stesso risultato: la temperatura andava comodamente sui 100°C e oltre.Anche il montaggio del cooler una cosa da doversi confessare. Sempre stato abbastanza semplice con questi dissipatori intel ma questo qui non so non entravano bene i pistoncini, una volta entrati non agganciavano, non si capisce il verso dei 4 piedini. Insomma una cosa invereconda. Davvero improponibile.Ho preso al volo un Noctua neanche troppo costoso. Risultato cpu sotto stress massimo a 73°C. Temperatura ora mentre scrivo 27°. La salute del processore. PC silenzioso al massimo nonostante 8 ventole totali.Ovvio che richiede un po' di tempo montare un dissipatore decente per cui intel preferisce evidentemente fornire un prodotto che si assembla rapidamente e non occupa spazio.Però così si esagera perché quelle temperature non fanno bene al prodotto che è veramente un prodigio della tecnologia umana.",13 December 2023
No title,No rating,Der i5 reicht für fast alles vllig aus. Top Leistung zu dem Preis. Reicht auch für Gaming,11 December 2023
No title,No rating,I went for this due to the energy saving comparing to K chips and for performance I didn't see much diff since I'm doing alot files backups and transferring of big files,11 December 2023
No title,No rating,"A detta del tecnico che me lo ha installato, tutto perfetto",7 December 2023
No title,No rating,Bonjour j'ai reçu mon colis mais je n'est pas reçu le processeur qui aller avec que le ventirad,6 December 2023
No title,No rating,"This processor is worth the money. No high grades, just high FPS.",24 November 2023
No title,No rating,"Facilmente montabile sulla scheda madre,performante anche per giochi,un po caro",22 November 2023
No title,No rating,"The Intel Core i5-13500 is a promising addition to Intel's lineup, offering a significant leap in performance and efficiency compared to its predecessors. Boasting an improved architecture and advanced technology, this processor is tailored for mainstream users seeking a balance between power and affordability.Performance-wise, the i5-13500 demonstrates commendable speed and responsiveness in handling everyday tasks. With its increased core count and upgraded architecture, multitasking feels smoother and more efficient. Whether it's browsing the web, streaming content, or running office applications, this processor handles these tasks effortlessly.Gaming performance on the i5-13500 is notably improved, offering respectable frame rates in most modern games. While it may not match the prowess of higher-end processors in demanding gaming scenarios, it provides a solid gaming experience for the price, especially when paired with a capable GPU.One of the standout features of the i5-13500 is its improved power efficiency. The processor's optimized architecture ensures better thermal performance and lower power consumption, contributing to a cooler and more energy-efficient system.Furthermore, the i5-13500's compatibility with the latest hardware technologies ensures future-proofing and offers room for system upgrades. Its integration with DDR5 memory and support for PCIe Gen 5 are welcome additions for users looking to build or upgrade their systems for longevity.In conclusion, the Intel Core i5-13500 impresses with its commendable performance, enhanced power efficiency, and future-ready features. While not aimed at power users or enthusiasts, this processor stands as a solid choice for mainstream users, offering a well-balanced blend of performance and value for everyday computing tasks and moderate gaming needs.",16 November 2023
No title,No rating,Bon dans tous ce qu'on lui demanderas et bon emballage,15 November 2023
No title,No rating,Für den Preis geht das Okay,31 October 2023
No title,No rating,"Passei de um i5 9400f, tao melhor, parece estranho visto que era um 9th gen intel, mas este funciona muito bem especialemente em conjunto com a rtx 3050 (mas iria recomendar uma 3060 ou 4060).",29 October 2023
