Review Title,Rating,Review Body,Review Date
Super 👌 I am already used,5.0 out of 5 stars,I am build my first pc this processor,26 March 2024
Good,5.0 out of 5 stars,I love this,7 March 2024
Secure package,5.0 out of 5 stars,I received this product without any defects,27 January 2024
Good CPU in this range,4.0 out of 5 stars,Getting optimal speed without any overheating issue,15 January 2024
Best in mid-range,5.0 out of 5 stars,Super,25 October 2023
Graphic Card not required very good to under rs.13200,5.0 out of 5 stars,Best deal rs.13200,11 October 2023
Working fine with ASUS prime Z690-P WiFi D4 motherboard,5.0 out of 5 stars,Box contents: Intel core i5 12400 processor chip and CPU fan/cooler. This processor is good for daily routine tasks but for heavy load usage and gaming go for the Intel core i5 13400 or 13500 processor.,10 October 2023
I5,5.0 out of 5 stars,Good and efficient 👍,17 July 2023
12000 series - very good,5.0 out of 5 stars,"Ideal for regular work.I do some basic  photo and video editing too,  without any problems.Gamers / high end users should go for higher specs if the intention is higher usage.",7 March 2023
Good,5.0 out of 5 stars,Nice,30 January 2023
Packing of product,5.0 out of 5 stars,Everything is good like product and other thing but packaging of product is very bad  I am very disappoint for packaging  😞😞😞😞,9 January 2023
Mind blowing,5.0 out of 5 stars,Very powerfull processor in this range u dont need saparate graphic card if you are on low end pc games...u have a option for gaming untill u use graphic card.....pavking is original and recieved unused favtory packed processor....,26 December 2022
Vfm product.,5.0 out of 5 stars,Performance is almost as good as 5600x and also consume less power than 5600x in gaming.Stock cooler provided is not good enough though. See if it can keep good temperature for you else get good air cooler.,3 May 2022
No title,No rating,muy buena,28 June 2024
No title,No rating,問題一切無しj,19 June 2024
No title,No rating,Es un excelente producto de fabricación Intel 12va. Generación.,7 June 2024
No title,No rating,Great CPU for the price for a DIY NAS.,14 May 2024
No title,No rating,"Puede prácticamente con todos los juegos combinado con una buena grafica como una 4070 o una rx 7700, por el precio no hay nada que lo supere",13 May 2024
No title,No rating,"Worked well so far during my 4months of ownership!It still kinda sad that a similar CPU from 2018 is just 25-40% slower, which for most people is barely noticeable. That is 5y of advancement!",1 May 2024
No title,No rating,The CPU throttles for no reason during gameplay causing multiple crashes.I would not recommend this for gamming.,24 April 2024
No title,No rating,Runs great,20 April 2024
No title,No rating,"Great price, great performance, great product. It doesn't break the budget and pairs great with 30 series Nvidias and the 4060. The integrated graphics makes this processor great for a starter until you can get a dGPU",12 April 2024
No title,No rating,El vendedor incluye pasta térmica y disipador el procesador funciona perfectamente lo recomiendo!,11 April 2024
No title,No rating,"Was running a little to hot with stock cooler- So I added a AK400 digital air cooler, the difference is20c cooler at idle and gaming- huge difference- I thought it was my GPU causing, nope the CPU was running hot, now 31c at idle and 50 or under during most games",6 April 2024
No title,No rating,"Llegó en el tiempo indicado por Amazon y el currier nacional en mi país, Ecuador. El procesador llegó en perfecto estado sin problemas, ni daños. El cooler del procesador está muy bonito y parece ser muchísimo mejor que mi viejo i5-4460. Ya siento la diferencia con solo estarlo usando un par de días. Además tengo este procesador con 16gb en RAM DDR4 a 3600mhz. 1 SSD MSI spatium 1tb (que también compré en Amazon), mainboard ASUS TUF gaming B76M plus WIFI D4, GPU rx580sp 8gb(que compré en la tienda china ""you know what I mean). Estaré probando el procesador y ya comentaré su rendimiento.",5 April 2024
