Review Title,Rating,Review Body,Review Date
No title,No rating,Simple to install and so quick,27 June 2024
No title,No rating,non ho potuto provarlo non so come va,13 May 2024
No title,No rating,Un procesador de gama de entrada que se desenvuelve muy bien incluso en equipos gaming.,6 May 2024
No title,No rating,Processore collaudatissimo che supporta windows 11,21 March 2024
No title,No rating,"Me sorprendió mucho este procesador, junto a mi 4060ti de 8gb de vram, más 32gb de ram en dual channel funciona todo correctamente, puedo jugar juegos en 1080p, 1440p y 4k sin ningún problema. Recomendando",17 February 2024
No title,No rating,"Montato, tutto ok al primo colpo, Intel sempre una garanzia come compatibilità e prestazioni.",20 December 2023
No title,No rating,Ok,24 November 2023
No title,No rating,from what i saw on yt and websites it would be way worst. Many people were saying that it would under perform with the RX 6650xt i bought. not really ture on pretty much every game i tested wiht & without overclocking did 2-2.5 times better than expected i have build a $750 setup with some help from yt and for now it is really good. definatly buy it for beginning and at anytime you could just upgrqade it,9 November 2023
No title,No rating,"A l'instar de ce que peuvent dire nos chère Youtubeurs FR, ce proc fait grave le taf mais attention au prix, max 120€ sinon trop chère.",22 October 2023
No title,No rating,"Nach einem Mainboard-Defekt musste ich leider mein altes ASUS P5B der Entsorgung übereignen, zusammen mit dem installierten Core 2 Quad. Wobei diese Kombination für einen Business- und Home-Office-PC auch heute noch unter Windows 10 leistungsmäßig völlig okay gewesen ist. Nur der Wechsel auf Windows 11 hätte früher oder später ohnehin ein Hardware-Update nötig gemacht … was durch den Defekt jetzt beschleunigt wurde.Das soll sozusagen mein Anforderungsprofil beschreiben. Und das erfüllt der 13100F. Onboard-Grafik brauche ich nicht, bei 3 Monitoren komme ich an einer Grafikkarte sowieso nicht vorbei. Die CPU ist vergleichsweise günstig, und sie ist für meine Zwecke mehr als schnell genug. Der geringe Stromhunger lässt den PC nahezu lautlos laufen und verspricht eine lange Lebensdauer. Erfahrungsgemäß ist sogar noch etwas Undervolting drin, was diese Dinge nochmal verbessern dürfte.Als kostengünstige CPU für meine Zwecke passt es. Das höhere Potential teurerer Prozessoren würde ich sowieso nicht abrufen.",10 September 2023
No title,No rating,"Habe sie in meinem Gaming PC, warum viel mehr ausgeben wenn die 4+4 Cores noch für alle Aktuellen Games reichen. Ist schneller als men 10900K in Games, aber verbraucht nicht 220watt, kommt unter volllast mit 50 watt in Games aus. Und meine 3060/12 langweilt sich nie, in jedem Game ausreichend FPS nie unter 75! Ich werde nurnoch i3 CPUs kaufen, wenn der nicht mehr reicht wird der dann Aktuelle i3 ach günstig sein und Spass machen. Der i3 14100f soll ja schon 6+6 core bekommen! Ich würde ihn immer wieder Kafen!",2 August 2023
No title,No rating,"Largement suffisant pour la plupart des gens , la 13eme génération d'Intel est vraiment performante . 4 coeurs 8 Threads ont fait tout a 4.5 GHZ⚠️⚠️ Le 13100F ne possède pas de partie Graphique, faut absolument une Carte Graphique.",16 July 2023
No title,No rating,"Good product, it absolutely worth the price!",19 May 2023
No title,No rating,Processeur au topNe chauffe pas et est très performant pour de l'entrée de gamme.Il ne bottleneck pas ma RX6750XT ni en 1080p ni en 1440p,2 May 2023
No title,No rating,"Built a new system to replace my 7 year old i7 4790k system, this i3 is so much faster, using the same graphics card, new motherboard and RAM of course. Great price vs performance, highly recommended.",25 April 2023
No title,No rating,"Franchement, pour un tel prix, rien à redire! Les performances sont meilleures qu'un I7 Gen10, qu'un I5 Gen11 et équivalentes à un I5 Gen12 (un poil inférieures, soyons honnête).138€ ventirad inclus? Foncez! Foncez! Foncez!",10 April 2023
No title,No rating,"I received a 13100f  in a tatty box, not the 13100 which I thought I was getting as it even mentioned in the specs it was the igpu UHD 730 version chip",1 February 2023
No title,No rating,It’s i3-13100f not i3-13100,21 January 2023
No title,No rating,"Leider habe ich die andere Rezension erst gelesen als ich das Paket geöffnet habe. Aber selbe Erfahrung: Drin war ein 13100F, kein 13100!",18 January 2023
No title,No rating,"Es handelt sich hier um einen ""i3-13100F"" und keinen ""i3-13100"".",14 January 2023
