Review Title,Rating,Review Body,Review Date,Sentiment
Very very nice :),1.0 out of 5 stars,15k is very low price for an i3. 15.1k should have been a better price if the the seller intends to break the back of ultra low budget pc builders. 😌,21 October 2022,Negative
No title,No rating,No complaints. New sealed box.,18 June 2024,Negative
No title,No rating,Good,17 June 2024,Positive
No title,No rating,10年ぶりにパソコンを更新。進化に驚きました。必要にして十分。,16 June 2024,Neutral
No title,No rating,"with a nvme ssd its rapid, but the onboard graphics good enough for multiple displays not really gaming",1 June 2024,Positive
No title,No rating,12100 is a great CPU because Intel did bust a lot of improvement since 12th gen. Good for home server.,31 May 2024,Positive
No title,No rating,This is a great processor that can handle just about any task imaginable. Just did a computer build and used this processor. And I have nothing bad to say about it. Would definitely use again on future builds.,22 May 2024,Future Expectations
No title,No rating,It's a good processor for a server but I think it should be cheaper.,9 May 2024,Positive
No title,No rating,I bought this because my i9-12900k was giving me problems.  It was more for troubleshooting.  The i3-12100 actually works better than my problematic i9-12900k that had lagging and stuttering issues that made it nearly impossible to work with Microsoft Word or Excel.  I never thought I'd see the day that an i3 would outperform an i7 or i9 but this little budget CPU works better than them.,2 May 2024,Positive
No title,No rating,"Great product, It's really worth the price.",14 April 2024,Positive
No title,No rating,"Es ideal para cuando tienes poco presupuesto, tiene buena potencia y para las cosas y juegos básicos",30 March 2024,Positive
No title,No rating,金額で考えると上出来でしょうね！軽いゲームならそこそこ動きますし。ホントのとこは13世代が欲しかったのですが13は品薄でこれにしました(;'∀')。。。。。がッ！！標準的な事は十二分に熟せるので費用対効果を考えれば満足ですねｗ。あとは。。。マザボの選択です。生かすも殺すもマザボで決まります。後続者の方々。。。。頑張ってマザボ選びに気ぃ使って下さい！！ｗｗ。,30 March 2024,Neutral
No title,No rating,Ottimo processore economico per lavori non troppo pesanti.,28 March 2024,Neutral
No title,No rating,Ok,25 March 2024,Positive
No title,No rating,"it's an i3, so don't expect i9 performance.  With that said, I am using it in a custom built NAS running Ubuntu, and it seems to run great.  It comes with a CPU cooler that works just fine for my purpose.  I am in a tight build in a small case with 4 HDDs, and temp under large file transfer loads are ~34 degrees.",23 March 2024,Future Expectations
No title,No rating,Je l'ai acheté pour monter un bon PC bureautique voire plus si affinités...Avec ses 4 cœurs/8 Threads de 12ème génération : ça fait une sacrée différence par rapport à un i3 de 6ème génération (qui n'avait que 2 cœurs 4 threads).Maintenant les i3 sont même bien utilisables pour du gaming s'ils sont couplés avec une carte graphique style RTX3060 ou RX6650XT voir RTX 4060Ti ou RX7700XT.Il chauffe vraiment peu et est tellement bien calibré que le ventirad d'origine suffit à le refroidir même lors d'un stress test CPU-Z.,20 March 2024,Negative
No title,No rating,"Compré estos procesadores y pude ensamblar la computadora de mi hijo con 16GB ram y puede jugar al fornite, la tarjeta de video que usé es de 6GB, recomiendo ampliamente el procesador por el precio y lo rápido que es",17 March 2024,Neutral
No title,No rating,funcionando bem até hoje março de 2024,11 March 2024,Neutral
No title,No rating,as advertised,28 February 2024,Neutral
No title,No rating,I picked it up for $120 on sale. That's a good priceIt works great,31 January 2024,Positive
No title,No rating,it works well  in my Linux system. I photo edit using gimp.,17 January 2024,Positive
No title,No rating,I never had any issues with Intel CPUs. This one works great with my 3060 12 GB GPU.,16 January 2024,Positive
No title,No rating,"Compared to the i3 of just a few generations ago, it's amazing how far these mid-entry-level CPUs have come.I upgraded my Plex server to a new motherboard and this i3-12100 and performance is excellent.Included CPU cooler isn't great but it's good enough.",15 January 2024,Positive
No title,No rating,Good For 4K TV at 60HZ UHD 730 built in graphics. My Son uses it for gaming Gaming  RTX 2070 8GB  and16GB Ram on Motherboard.  Good Value hardly difference with pricier 13100. I am using a GTX 1060 6GB for AI tutorials with 16GB RAM. My son and I are Happy with our respective use cases.,6 January 2024,Positive
No title,No rating,I've built 3 computers for clients on a budget using this CPU. It's power per dollar is great and it's on board graphics are good enough to run most games okay if you are on a really tight budget.,1 January 2024,Positive
No title,No rating,Quick and snappy processor for those on a budget. I currently have it in my PC I built myself and I'm very happy with it.,23 December 2023,Positive
No title,No rating,Le processeur en temps que telle fonctionne très bien mais je suis déçu sur ses points:Lemballage du processeur une fois déballer avait une odeur de cigarettes très présente.L'emballage est arriver avec tout les coins endommagerLa pâte thermiques déjà installer sur le cooler n'étais pas protéger avec du plastic donc il y avait de la saletés coller dessusJe suis un peut déçu même si le processeur lui même est ok,20 December 2023,Positive
No title,No rating,Works as intended even better than I thought it would really good budget cpu,14 December 2023,Positive
No title,No rating,Works great in MSI mobo,4 December 2023,Positive
No title,No rating,It's amazing but for games not so amazing. Even applications are not entirely the best they could be faster if maybe you have an old GPU that's about 5 years old you could speed this i3 up but it's still not the best it could be but it is cheap I guess. Get an i5 or i7 1100+ instead.,26 November 2023,Negative
No title,No rating,Buen producto para comenzar a armar una computadora básica,21 November 2023,Competition Sentiment
No title,No rating,Good.,1 November 2023,Positive
No title,No rating,Works great out the box and super quiet cooler.,24 October 2023,Positive
No title,No rating,Buenas temperaturas con el disipador de fabrica y buen rendimiento al jugar y trabajar,22 October 2023,Neutral
No title,No rating,"Ce i3 est parfait que ce soit pour de la bureautique ou du gaming.Le 12100 est plus cher que le 12100f puisqu'il y a un gpu intégré (uhd730) c'est a dire qu'il n'y a pas besoin de brancher une carte graphique ce qui est parfait pour un pc de bureau, qui quand même peut de faire  tourner GTAV en 1080p.Et si l'on souhaite ajouter une carte graphique pour du gaming c'est tout a fait possible, rtx4060 max",21 October 2023,Negative
No title,No rating,Cumple con las especificaciones y este modelo trae GPU integrada,20 October 2023,Neutral
No title,No rating,"I'm very impressed with this CPU. If I had the money I would get the I5-12600 Non-K for video work because of the extra cores but the I3-12100 is freaking amazing. This is the most powerful CPU I have ever used. It can do the video editing I need done for now until I get better. It uses hardly any power, stays cool and is capable of much more than I need for now. I had never been able to do video editing before because the computer would lock up regardless of how fast the HDD was or how much RAM I had.",19 October 2023,Positive
No title,No rating,Llegó a tiempo y en buen estado funciona bien es original sin ningún detalle. Buen rendimiento,12 October 2023,Negative
No title,No rating,"I have this installed into an Asrock motherboard. It works great. I was a little misinformed about the built in graphics and thought when I bought it was I was getting Iris Xe, but it's something called UHD. The product description clearly says UHD, so my bad really. Most of the other Intel 12th gen chips with graphics processing have Iris Xe which has many more graphics processing units. For sure the UHD is fine for many things including streaming video. Not sure about 3D gaming, though. Had I know it was UHD and not Iris, I might have saved $30 or so and bought the version without the graphics. On the other hand, I liked the idea of onboard graphics as a backup or alternative. In either case, this i3 runs like a champ compared to the quad core phenom ii based system it's replacing.I'm not sure it's relevant here but I think I should mention that my Asrock board can't make use of the on board UHD graphics when you set BIOS to legacy mode. You need to use the UEFI mode in order to use the on board graphics. Not sure if that's typical of other boards or board brands. With my Asrock board, you need a discrete graphics card to use the legacy bios mode to boot from an old non-UEFI installation of windows. If that doesn't make sense to you, don't worry about it.",29 September 2023,Positive
No title,No rating,4 cores with hyper-threading. Works great. Very snappy and fast.Thank You.,29 September 2023,Positive
No title,No rating,"Bon processeur. L'avantage de l'entrée de gamme comme ça c'est qu'il consomme moins, quand il ne sera plus assez puissant je pourrai le recycler en serveur multimédia",24 September 2023,Neutral
No title,No rating,"For i3 processor this 12k model really performs, paired with a intel arc a770 16GB model has surprised me with the ability to stream while gaming New World with seedless ease.",11 September 2023,Positive
No title,No rating,Strong single core. Decent multicore. For day to day use like browsing and MS Office this is perfect. Very good in gaming too. Why spend more.,9 September 2023,Positive
No title,No rating,Buen procesador lo recomiendo.!,2 September 2023,Neutral
No title,No rating,very good product,1 September 2023,Positive
No title,No rating,"J'ai acheté ce processeur pour pouvoir le mettre dans un pc de bureau. Les performances sont au rendez-vous.Le partie graphique du processeur permet de mettre 2 écrans sans qu'il y ai de bug ou de ralentissement.Le processeur est vraiment un bon compromis, il peut aussi bien être performant en application bureautique que en jeux si vous le couplez avec un carte graphique.",25 August 2023,Neutral
No title,No rating,"Even in 2023, it's astounding how much performance this i3 delivers. On Cinebench's single-thread test, I get the same score as an 11900k, which is insane! It's good for gaming and exceptionally powerful for an office PC.",23 August 2023,Positive
No title,No rating,Came in early.. box damaged but luckily cpu was in good condition.. used to update bios on h670 board to finally use a 13th gen cpu.. worked well.. and now its on its own motherboard.. no videocard for now but it works pretty well.. and didnt expect this to come with a fan.. thought it didnt have.. paired this with a b760m d3sh..Edit: surprisingly a very good daily performer.. thought less cores could be shaky but actually it performs well.. even games that can run on igpu are also giving an acceptable result which is very good for its price.. good balue purchase..Thanks seller!,13 August 2023,Future Expectations
No title,No rating,YOUTUBEでサンディーのi7と同等の処理能力とか聞いて、話半分やろうと思いつつIVY i7からの乗り換えで購入。HD動画での変換時間が同等でした。,30 July 2023,Neutral
No title,No rating,"A colombia llego en 5 dias, excelente procesador",27 June 2023,Neutral
No title,No rating,"Purchased for a server build. Works like a charm. Supports Quicksync for Plex transcoding which is phenomenal. For the price, it was the perfect option! No issues since installation.",10 June 2023,Competition Sentiment
No title,No rating,"SandyBridgeのCoreI7-2600から老朽取り換えですが、性能良すぎて当初想定していなかった用途にも使ってます。内蔵グラフィックで軽めの3Dゲームができますし、FHDの動画編集もできます(Aviutl,DavinciResolve)。MinecraftやA列車9/はじまるA列車はもちろん、シティスカもできましたしTpf2もメインメモリーがあればプレイできます。i7-2600と比較して、シングルコアが３倍なのに消費電力は同等以下です。１０年を経た進歩でしょうか。",28 May 2023,Neutral
No title,No rating,CPUとマザーボードを交換してWindows10から11にアップグレードしました。CPUクーラーをリテールに変えた以外、メモリもDDR4‐2133・８GB×2です。またシステムが入っていたM.２NVMeSSD・256GBは新しいマザーボードに差し替えただけで認識し、認証手続きなど一切行わないで日々のアップデートが行えます。ゲームはほとんどしませんがCPU‐Zで見る限り性能は勝るとも劣らないようです。,24 May 2023,Neutral
No title,No rating,Ótimo para aplicações simples como exibir video em múltiplas telas ou então executar programas leves,6 May 2023,Neutral
No title,No rating,"Great little CPU. I just wanted an entertainment server so I built a quick and dirty $500 computer, but I might actually use this for my video editing and gaming machine instead. Immediately ran benchmarks and was pleasantly surprised. This thing can game and it can be a workhorse. It comes with a fan that's just fine but I had already purchased a separate fan/cooler before realizing this came with one, so I'm using that instead. This is one of those no-brainer items where you're guaranteed quality and performance at a very low price. I wish all items were as good.",26 April 2023,Future Expectations
No title,No rating,"Comprei para uso domestico para ter muiot tempo de durabilidade, porém roda muitos programas pesados. vale a pena",17 April 2023,Neutral
No title,No rating,"El procesador lleva trabajando más de 6 meses sin problema casi todos los días más de 8 horas al día, cumple bastante bien con un trabajo sencillo y es muy estable lo instale en una mother board h610 de msi",14 April 2023,Negative
No title,No rating,Works as intended.,4 April 2023,Neutral
