Review Title,Rating,Review Body,Review Date,Sentiment
Thanku,5.0 out of 5 stars,Thanku Appario you send me best cpu,1 July 2024,Positive
Best Budget Cpu,5.0 out of 5 stars,Budget cpu for gamers and creators,26 June 2024,Neutral
A Balanced Powerhouse for Everyday Computing,5.0 out of 5 stars,It doesn't have integrated graphics,16 June 2024,Neutral
Best CPU for Budget Ballers.,5.0 out of 5 stars,"This processor is great mid to high range budget builds, if your looking for a cpu for around 10K INR, this is the perfect choice, it has 6 Cores and 12 Threads which is quite powerful. For me, pairing it with RX 6600 gave me around 120 FPS in almost all games while playing on High Graphics. About the stock cooler, the stock cooler can definitely keep the heat away, i experienced less than 60° while gaming, although u can go for a better cooler if u prefer that, but the stock cooler will do its job.Overall 9.5/10 product.",15 June 2024,Positive
Got it under 10k,5.0 out of 5 stars,Try to get it under 10k and check the rankings in details sections before buying anything,14 May 2024,Neutral
Very Great Processor . . .,5.0 out of 5 stars,The processor was very power efficient i develop android apps and web development and for this the processor was beast and I do some little gaming with rx580 which combination was superb  with 5400mhz ddr5 memory 1 tb ssd . . .,24 April 2024,Positive
Nice processor under 12k,5.0 out of 5 stars,Best 👌 gaming and multitasking processor at the price of 12k for budget pc of of 80 k arround,7 April 2024,Positive
Highest Price to Performance processor for gaming.,5.0 out of 5 stars,"I upgrade from 9400f. The performance gain is a huge. I use cooler master hyper 212 with this and my cbinet have 3 intake 2 exhaust fan, Temp never cross 60°c even when full load stress test. The efficiency of this processor is incredible runs below 1.2 volt. It never reach 1.2v even when doing Multi core stress test.If you're building mid range PC for gaming purpose this is the cpu you should consider. At this price point there's nothing that can beat this processor.",24 March 2024,Positive
Faulty product,1.0 out of 5 stars,"The media could not be loaded.
                



Fan is not working faulty device.Suggest not to buy this from hereNo support help me 😞Very disappointed",3 March 2024,Positive
No discrete graphics in this processor,4.0 out of 5 stars,"This will not work without graphic card, So be careful before ordering.",18 February 2024,Positive
I received used product.,1.0 out of 5 stars,"Don’t buy, there’re selling used and defective product.",31 January 2024,Negative
12400f,5.0 out of 5 stars,"It runs well for productivity tasks, 6 cores cpu is minimum requirement for smooth running any large software.",28 January 2024,Positive
Nice,5.0 out of 5 stars,been using it since an year no problem at all can run any current AAA game can handle multi tasking mid to not very high level gaming with no problems if u have other good combination of components integrated,23 January 2024,Negative
Bang for the buck,5.0 out of 5 stars,"This is the king in Price-to-performance ratio.Paired with a 1660S, most games are giving me 90-100 FPS on high settings.",27 December 2023,Positive
Disappointing Experience with Defective i5 Processor,1.0 out of 5 stars,"I recently purchased an i5 processor from Amazon, and unfortunately, it turned out to be defective. Despite my efforts to seek assistance from Amazon, their customer support proved unhelpful, leaving me frustrated with my hard-earned money seemingly down the drain. Disappointed with both the product and the lack of support, I advise potential buyers to exercise caution when considering this purchase.",26 December 2023,Negative
Just as expected 😄,5.0 out of 5 stars,"Got at the cheapest price of 10250Rs in the sale. I was a bit worried about getting scammed since this Processor was never sold for this low price, but guess I was in luck. The performance is just as good as expected 😄",30 November 2023,Future Expectations
Nice 👍,4.0 out of 5 stars,nan,18 November 2023,Neutral
Keep in mind to definitely buy a graphics card,4.0 out of 5 stars,"This one has no graphics processing unit and hence if you use this without graphics card, the bios will not boot.Other than that this is an excellent processor",14 November 2023,Positive
I am used processor good condition,5.0 out of 5 stars,I am used processor gigabyte motherboard  working properly 2.5 gh speed 12 logical processor working properly,5 November 2023,Neutral
Great product from Intel..,5.0 out of 5 stars,I like Intel processors. I found this and liked it. Working like a charm. Will do overclocking and test it.Overall great product,3 November 2023,Competition Sentiment
Received Original Product,5.0 out of 5 stars,Good Product,21 October 2023,Positive
Received in good condition,5.0 out of 5 stars,"Received in good condition, good packing and got it for only 11900 value for money beast .",17 October 2023,Positive
Good processor,4.0 out of 5 stars,"After installing it, Windows 11 is giving the following description of the processor:12th Gen Intel(R) Core(TM) i5-12400F  2.50 GHzIt requires a graphics card.",13 July 2023,Positive
Very nice product,5.0 out of 5 stars,Value for money,5 July 2023,Positive
BEAST IN THIS SEGMENT,5.0 out of 5 stars,GAMING WITH GTX 1650GTA V ON ULTRA  AVG 90FPSPUBG ON ULTRA  AVG 120+FPS,16 April 2023,Neutral
Good,5.0 out of 5 stars,Good  not open box,25 February 2023,Positive
Good for beginners,5.0 out of 5 stars,Excellent for beginners and students,21 December 2022,Positive
best value processor,5.0 out of 5 stars,"It is a good processor to build a low budget computer. In this processor, you have to install a separate graphic card. For the display, I would also say that installing a cooler or a liquid cooler is also very important because this processor heats up more.",10 October 2022,Positive
Superfast..alder lake processor,5.0 out of 5 stars,Must buy for gamers,11 September 2022,Neutral
Excellent budget gaming processor,5.0 out of 5 stars,This is excellent budget gaming processor... Value for moneyThe stock cooler is waste.. Better get one external cooler from coolermaster or corsair or deepcool,8 September 2022,Positive
Overprice now. Try to buy it under 15k only,3.0 out of 5 stars,Caution : Price 18k is Overprice now. Please buy it under 15k only otherwise check some other applications/sites for better price.,25 July 2022,Positive
Totally Worth it,5.0 out of 5 stars,"Got this product in good package 📦.I have paired this cpu with my RX 590 and 16 GB RAM 3200 MHZ,If you are looking for budget gaming, this is excellent.Gaming benchmark:Assassin's creed unity: 80 fps high setting.Apex legends: 144+ fps ultra settingsPubg steam: 110 fps, very high settingsThe cpu temp goes to 67°C max during intensive gameplay for 5-6 hours, make sure to put heatsink correctly. Stock cooler is enough.I am using msi H610M-G motherboard, the stock cooler gives enough room for ram sticksMake sure to have psu of at least 500 watt.",22 July 2022,Positive
Best in this price range,5.0 out of 5 stars,Best processor in this price range. Best performance all togethe.,14 July 2022,Positive
Totally Worth it,5.0 out of 5 stars,"Got this product in good package 📦.I have paired this cpu with my RX 590 and 16 GB RAM 3200 MHZ,If you are looking for budget gaming, this is excellent.Gaming benchmark:Assassin's creed unity: 80 fps high setting.Apex legends: 144+ fps ultra settingsPubg steam: 110 fps, very high settingsThe cpu temp goes to 67°C max during intensive gameplay for 5-6 hours, make sure to put heatsink correctly. Stock cooler is enough.I am using msi H610M-G motherboard, the stock cooler gives enough room for ram sticksMake sure to have psu of at least 500 watt.",20 April 2022,Positive
Great process but pathetic Stock cooler,4.0 out of 5 stars,"The cpu is overall great for everything, it’ll give you flaw less performance in mediocre level video editing and hardcore level gaming and streaming. If you are looking to buy this just for gaming this is the perfect buy. But the only thing disappointing is the stock cooler. First of all I would like to request intel to please stop making this clip coolers they are so unreliable and annoying sometimes it fits sometimes it doesn’t. And also the clips are so fragile that you might break one someday trying to fit it just provide us with a simple screw and bolt cooler with a proper mounting. Also the performance is not nice, many would say stock cooler is more than enough for 12400f but in my case when rendering a video my cpu temps touched 100 degrees so I took out the cooler and reinstalled it to ensure proper installation but still it was going 90 to 95+Degrees. And it was approx the same case while gaming. Idk maybe my cooler clips are just faulty that the cooler is not able to mount properly and is not doing any cooling. So be careful with the stock cooler, or I would suggest to buy an after market cpu cooler or aio especially you live somewhere like India where it gets to 40 degrees easily and you don’t have an ac in your room, aio is the choice.",3 April 2022,Positive
No title,No rating,"Chegou certo , vou testa logo logo 🙌🏻",28 June 2024,Neutral
No title,No rating,je ne peux pas encore trop evaluer ce produit car  je monterai mon pc dans 5 a 7 mois le temps d'avoir assez economisé je l'ai acheté maintenant car -48% c'est quand meme 102 euros d'economisé le rat mais vu les avis pour moi c'est le meilleur des I5,26 June 2024,Neutral
No title,No rating,"Pas cher et efficace pour gaming ,multimédia.",23 June 2024,Neutral
No title,No rating,يعمل جيدا,23 June 2024,Neutral
No title,No rating,Très bon rapport qualité/prix pour un usage bureautique et même d'avantage...,22 June 2024,Neutral
