Review Title,Rating,Review Body,Review Date,Sentiment
Deadliest Processor for Gaming,5.0 out of 5 stars,Nice product.... You can go for it !!,25 November 2023,Positive
No title,No rating,"Using on my current work/gaming PC. Does the job, I would recommend at least a 280 AIO if you don't want to worry about temps and noise.",29 June 2024,Positive
No title,No rating,"This is a workhorse of a CPU. Currently have it slightly overclocked, but for normal use cases there is likely no need. Fantastic CPU, would recommend. I am cooling mine with a Corsair iCUE H115i, and I have no complaints.",28 June 2024,Neutral
No title,No rating,"I got the i5-13600K to meet my immediate needs for my new HTPC build which is also used for video creation. Because I'm not in a real rush to create and edit my short videos, this processor is all I need now and in the immediate future. Realizing that the LGA1700 processors may end production soon, I can still upgrade to the i7 and i9 to keep pace with ubiquitous software bloat.",22 June 2024,Future Expectations
No title,No rating,Création d'un nouvel ordinateur en remplacement de mon ancien mort subitement.,19 June 2024,Neutral
No title,No rating,CPU crashed frequently on my Asus Strix ROG Z790. Still waiting for Amazon to finalize a refund for a defective item. Maybe these are better bought at a brick and mortar store.,16 June 2024,Positive
No title,No rating,"Currently running OC 5.3ghz , lovely.",9 June 2024,Positive
No title,No rating,"read the online reviews and I'm not disappointed,very good value for money, works perfectly.highly recommended for a budget PC.",27 May 2024,Negative
No title,No rating,Es un poco caliente pero con muy bien rendimiento lo recomiendo,24 May 2024,Neutral
No title,No rating,I run this with the cooler NH-U12A and max temp 60C running games like Cyberpunk and Helldivers 2.,11 May 2024,Positive
No title,No rating,"This processor was on the higher end of my budget, but oh man it was worth it. 6p, 8e cores totalling to 20 threads gives me ample compute to do all sorts of intensive tasks. I can run Cyberpunk 2077 at 1440p 60fps on ultra settings, run LLM workloads, transcode video and audio on the fly, all at the same time, and the processor will only be at 60% usage on all threads.",27 April 2024,Positive
No title,No rating,"É Intel né, só colocar e pronto. Lógico que você pode configurar algumas coisas para ter mais desempenho. Mas basicamente é só colocar que vai ter um ótimo desempenho. Sobre Durabilidade ou se vai ter algum problema, só o tempo pode mostrar.",26 April 2024,Neutral
No title,No rating,"Building my own computer, this product is perfect for what I need",25 April 2024,Positive
No title,No rating,Very nice CPU and easy to install. Always feels awkward holding this tiny piece of metal and mounting it to the motherboard. Handles the tasks I need and never had issues.,18 April 2024,Positive
No title,No rating,"Words cannot describe the change in performance.I thought my 9600k was still a decent chip before I upgraded. Now I see although it was decent, I was missing a lot. My rtx 2080 super didn’t get upgraded this year but I’m sure it’ll need to by next year as it’s now always peaked at 100% in games. While my gpu works a sweat trying to not burn itself to the ground, this 13600k sits around 20-30% usage and around 50 degrees Celsius in most situations.Depending on the motherboard, you may want to tweak “CPU lite load” settings. My MSI mobo defaulted to mode 12 and was causing overheating issues due to current. Now dialed back to mode 9, I have lost no performance what so ever, I actually gained almost a thousand extra points in cinebench by not letting it get hot.Overall I’m very happy and would highly recommend this cpu to anyone.",29 March 2024,Positive
No title,No rating,I have had no issues with this processor. The temps are low even when heavily gaming. This PC is gonna last a really long time.,29 March 2024,Negative
No title,No rating,"O processador i5 13600k, atende perfeitamente para meu uso diário,  em edições de foto e vídeo casualmente, assim como também para entretenimento comuns de lazer e jogos!",26 March 2024,Neutral
No title,No rating,"I have this in my newest rig and it is performing pretty well, very happy with the purchase",25 March 2024,Positive
No title,No rating,I got really lucky and got a high-performing chip.Totally pleased with it and the AI overclocking on my ASUS ROG board.,22 March 2024,Positive
No title,No rating,"Fast clock speed, more than sufficient for everyday workloads, gaming, 3D rendering, and running heavy computations.",16 March 2024,Neutral
No title,No rating,Product never worked after finally building system.Went to Best Buy. Bought another after troubleshooting for days. That one worked.Think I must have gotten someone’s return item.,16 March 2024,Positive
No title,No rating,good CPU,12 March 2024,Positive
No title,No rating,"I bought this to build a gaming pc with. But I like CPUs that have a graphics option. This gives me a little wiggle room when I'm debugging a system. When I'm putting it together, I can get the mother board assembly out without plugging in a GPU.I'm using this in a pc that primarily plays World of Warcraft. A core I5 is plenty for that. I'm sure an I3 is more than adequate. I'm using a Deep Cool cooler in a well ventilated case and it doesn't get above 72 degrees celsius, 51 degrees over ambient. I'm not a CPU snob and have used AMD and Intel equally over the years. I wanted thunderbolt ports and that pretty much limited me to Intel this go around. I am not disappointed. My machine gives me all the performance I need. FWIW, I'm running a 7800XT GPU in the system if that is of any interest.",3 March 2024,Competition Sentiment
No title,No rating,I received this CPU and was so exited to finally finish the build and my computer didn't even turn on so I am going the AMD side.,29 February 2024,Competition Sentiment
No title,No rating,I like that the new PC I built does not slow down when spinning up a Linux VM in Hyper-V. The processor has plenty of threads and supports all the latest features and chipsets.,27 February 2024,Positive
No title,No rating,Best bang on a budget for gaming. No need to pay 5 to 7 grand for top of the line computer.,26 February 2024,Positive
No title,No rating,Not bad but gets hot when using like photoshop or whatever,15 February 2024,Positive
No title,No rating,I just built my first pc and I decided to go with this intel CPU. The pc has been running great and I’ve had now issues with anything I’ve tried to do with it. It’s fast and can support both gaming and multitasking.,13 February 2024,Positive
No title,No rating,Fantastic,9 February 2024,Positive
No title,No rating,Best price-to-performance ratio in a CPU you would find today,7 February 2024,Positive
No title,No rating,"I waited for a black Friday deal to get this chip, and boy oh boy... I'm blown away! I upgraded from an I5-8600K and the difference was clear, it was not clear eye, it was a monster of a CPU that can tear through any game you throw at it... As long as you pair it with a motherboard that doesn't hold back the power that is this processor.",6 February 2024,Positive
No title,No rating,"The box was opened, the i5 sticker was missing. The CPU had some of the heat sink gray goo on it.The description did NOT say USED or OPEN BOX.Then to add INSULT to INJURY I have to drop it off at a UPS Store 12 miles away!The price when up so now I get to eat that difference too for a mistake I didn't do.",29 January 2024,Negative
No title,No rating,"The superhero of chips, nough' said. 10/10 -IGN",27 January 2024,Neutral
No title,No rating,Very fast and everything works just perfect with it,26 January 2024,Positive
No title,No rating,beast for gaming you'll never feel any bottlenecks with 99.9 % of any titlespair very nice with 4070ti.the temperatures are never over 60 under heavy load.if you care about longevity of cpu this is the best pick for you.,25 January 2024,Positive
No title,No rating,"El único inconveniente que veo es que se calienta muy rápido. Sin embargo, con una buena ventilación, la libra muy bien.",20 January 2024,Negative
No title,No rating,"A great cPU, good value for money, I got mine during the Black Friday sale but do not use it for gaming. Good power as long as it is paired with a good motherboard, Ram and storage.",15 January 2024,Positive
No title,No rating,"Es una bestia de procesador, para montar desde una 3060 hasta una 4090, de los mejores",8 January 2024,Neutral
No title,No rating,This is a very good CPU especially for the price. I love fast computers and don't see any reason to spend a lot more for very marginal gains.,7 January 2024,Positive
No title,No rating,コスパ良いです,6 January 2024,Neutral
No title,No rating,"I have great fps, and it stays cool under load. I'm running a 360 water cooler with it, and 6khz ddr5 ram. Longevity remains to be seen, but so far I can say, good job Intel. Full ultra settings with no less than 60fps in GW2 with 150+ players on the screen. 150+fps. with small group battles.",6 January 2024,Positive
