Review Title,Rating,Review Body,Review Date,Sentiment
Great performance,5.0 out of 5 stars,Cool processor,2 April 2024,Positive
It can be more efficient I guess,3.0 out of 5 stars,"It is working almost same as my 10 yr old DELL XPS laptop, swapped with a SATA SSD, and i7 second gen processor. I don't know whats improved. But it's doing its job I guess.. in my 2 weeks of usage I have seen it's temprature rised above 80°C once. Wasn't expecting that from current refined and powerful generations. I am using liquid cooling on top of this. And yet it hit 80°C. What I was doing when that happened was trying to open a game. And one thing that I missed was to disable the integrated graphics because I have dedicated GPU. It was just for a moment the CPU was used during the game launch and after it started using the GPU. But until that switch happened, under less than a minute of CPU usage, it reached to 80°c. I mean since these are premium products, there should be some protection layers blocking such usages, and close the programs instead rather than hitting its performance.But anyways, I disabled the integrated device and then it's all smooth. Everything normal except for that one instance explained above. Parallel processing is still shitty though with Windows OS. Same kind of processors on Mac before Apple silicon came in were working more efficiently. So I guess it's prob with windows OS, but not processors.",10 November 2023,Competition Sentiment
It's a beast nothing much to say,5.0 out of 5 stars,This processor is all-rounder for every tasks you do on PC from small to CPU intensive applications. If you are looking for vast performance with heavy production tasks this is very nice to have. Best to use with Motherboard DDR5 and PCI-E 5.0 supported motherboards.,13 October 2023,Positive
Great product,5.0 out of 5 stars,Thanks 🙏,24 September 2023,Positive
New Generation with Next Gen Power with 24 Cores and 32 Threads,5.0 out of 5 stars,"The Intel Core i9 13900K is an absolute powerhouse! Its blazing speeds and unrivaled performance have transformed my computing experience. Multitasking is a breeze, and demanding applications run seamlessly. The advanced technology and impressive efficiency make it a must-have for any tech enthusiast. Truly a 5-star gem!I recommend this CPU for 8K gaming and stream.",24 August 2023,Competition Sentiment
Nice processor,5.0 out of 5 stars,Nice processorGood performanceGood over clockingNice performanceTakes loadsGetting god fps in all games like gta5 etc,5 December 2022,Positive
No title,No rating,"Upgraded this 13900K from an i7 12700K. It is pretty fast when handling 3d applications.It does generate a lot of heat, but still works ok with CPU air-cooling tower fan.",1 July 2024,Positive
No title,No rating,"Very stable & capable, video edit/render.",26 June 2024,Positive
No title,No rating,Continues to over hear and crash. Runs way too hot even with max air flow. Be sure to read all the reviews before buying. Already having to replace it at only 5 months.,25 June 2024,Negative
No title,No rating,"It did not come with the box in the image, it came with a standard box like the i7",22 June 2024,Positive
No title,No rating,"I bought all new parts for my new build. And I wanted a good CPU. Got this one. Long story short, I had bsods, into eternity, slowly troubleshooting and replaced parts. This was the last part I replaced and this was the culprit. Do not buy this chip it will ruin your build.",18 June 2024,Negative
No title,No rating,"Un monstre, j'ai construit une gigantesque ordi de fous et ce processeur ne peut presque pas subir de stress. une construction monstre et il peut prendre tout ce qui s'affronte a lui.",10 June 2024,Negative
No title,No rating,"I initially got a 13700K, but grabbed this after and snubbed the 14 gen. I upgraded from 8700K, ***which is still a very capable cpu even today, but due to the demands of certain programs the 13900K is handling them better than the 13700K so far.Fingers crossed to hoping it will not fail in future. There are well documented power issues that Intel and their partners have with the 13th, 14th gen. May be an upsell to the upcoming ultra line of cpus?So you have to take this into account and modify your motherboards bios, and follow Intel's suggested settings.I will update this review if anything else comes up.",10 June 2024,Future Expectations
No title,No rating,Excellent produit,10 June 2024,Positive
No title,No rating,"We set up multiple computing servers to run heavy video processing algorithms essentially continuously everyday - to make a long story short, we liked how fast this ran compared to the i7-11th gen we had from before.The surprising thing is one day among 8 essentially identical machines, we noticed one desktop that seemed much hotter than the others.  We hooked up measurement of power draw and temperature readings of the CPUs and was shocked that this one was drawing 450W as others were showing < 200W.  And temperature went up to 100C while the others were at 70C.One system had a glitch where if you ran python and import numpy, it would reboot.  We determined the problem was that PSU only supported +12V rail at 20A.  We switched to a 600W PSU that supports +12V @50A and it worked flawlessly.  So watch out that your PSU supplies sufficient amps at +12V.Ordered a replacement, replacement brand new would not boot up.  We swapped back old CPU from, and it boots up but runs hot again.  This one we had to reduce workload to 75% of other systems to cool it down.So 2 out of 10 desktops are defective  This is a huge surprise.  These systems had no GPU, only motherboard, 64GB of DDR5, and an SSD.  Has anyone else seen this?",31 May 2024,Positive
No title,No rating,"I saved up for years to upgrade my PC, which I built from scratch to use for streaming. After a couple of months of using this new chip, I started getting constant game/system crashing whenever playing Destiny 2, or Fortnite. Basically has put my livestreaming/content creation job on hold, because of the constant crashing. Here are my specs...MOBO: ASUS Prime Z790-A WiFi 6ECPU: Intel Core i9-13900KGPU: XFX Speedster MERC310 AMD Radeon RX 7900XTRAM: 128GB Corsair Vengeance DDR5 RAM",30 May 2024,Competition Sentiment
No title,No rating,"So, first thing's first. This is a genuinely powerful CPU that's been able to handle basically every task that I've thrown at it. It runs demanding tasks like encoding and gaming with ease.Now with that out of the way; Thermals. This thing gets hot, and I mean REALLY hot. If you're going with air cooling I strongly recommend a double tower, six/eight pipe Air cooler like the Corsair A115 or a Cooler Master MA824. If you are going the AIO route, anything LESS than a 360mm AIO will under perform. For that, go with any 360mm AIO from any brand of your choice. If you have the space, go with a 420mm AIO for the best results.Finally, there has been recent reports of CPU degradation and instability when using this CPU. I am using this with an asus ROG STRIX Z790-H motherboard and it basically JUICED the CPU like no tomorrow until I applied intel's Power settings for this CPU. This likely is the cause of the degradation. Be sure to check intel's website for recommended power settings. Also check your motherboard vendor for any bios updates as Intel has confirmed that many motherboard vendors are running the i9 13900k CPU out of intel's specifications.In conclusion here's my personal experience: The CPU functions, but I can not use Asus' AI Overclocking feature as I get a BSOD with the CLOCK_WATCHDOG_TIMEOUT error and apps will randomly crash. You probably shouldn't use any AI assisted overclocking feature if you can help it. Even running this at stock, there is still a substantial amount of performance in this CPU. If you have an older rig and are looking to upgrade your CPU, I would just wait for Meteorlake or just go with AMD.Final note: I am not using a contact frame on my motherboard for my CPU.",26 May 2024,Competition Sentiment
No title,No rating,A mon avis c'est le meilleur processeur pour gamer...,22 May 2024,Neutral
No title,No rating,"I’m running a 360 AIO, under volted. Idle temp 25°C Underload it doesn’t get above 60c. Renders out projects really fast.",16 May 2024,Neutral
No title,No rating,nan,13 May 2024,Neutral
No title,No rating,It's not Amazon's issue but the processor I bought is faulty. I'm experiencing crashes while playing games. It's so annoying and so time-consuming. I had so many stressful moments because of this.,13 May 2024,Negative
No title,No rating,I have this CPU still because I spent a bunch of money on it. It over heats and overclocks itself. Not stable even after I undervolted and overclocked it. I messed with my bios too to try and help it also got a AIO cooler and new case for it. Nothing works terrible purchase and it has been too long for my protection plan it ran out its a big shame.,11 May 2024,Negative
No title,No rating,The box was open and tried the cpu not booting and no display,7 May 2024,Positive
No title,No rating,"I love it, works great. I paired this with 128GB using G.SKILL Ripjaws S5 Series (Intel XMP 3.0) DDR5 RAM 64GB (2x32GB) 5600MT/s CL28-34-34-89 1.35V Desktop Computer Memory UDIMM - Matte Black (F5-5600J2834F32GX2-RS5K), this is the fasted 5600 MT/s DDR5 I could find on Amazon at the time of purchase and I specifically chose the 5600 MT/s because as it is advertised on Intel's website for the i9-13900k. It works really good, very very fast, and can ***multi task heavy software like they're nothing*** and with a push pull AIO it averages around 28*C and when I'm gaming it stays around 50-40*C with graphics maxed out. Much love and gratitude to Intel! This works great with gaming and also data science, which work is the main reason I bought this. I also used the Thermal Grizzly - KryoSheet (38x38x0,2mm) for this as well so I don't have to worry about paste drying up on my i9 <3 and lemmy tell you it fits PERFECTLY and pairs well with a CPU contact frame too, and after almost half a year I've yet to have any problems, only good results.",3 May 2024,Positive
